name,hearts,pic,tier
Lee Min Ho,14094,https://i.mydramalist.com/kEpQwc.jpg,very popular
Lee Jong Suk,21065,https://i.mydramalist.com/eLBmQ_5c.jpg,very popular
Ji Chang Wook,17145,https://i.mydramalist.com/ZyyEJ_5c.jpg,very popular
Song Joong Ki,14810,https://i.mydramalist.com/1kymd_5c.jpg,very popular
Kim Soo Hyun,14528,https://i.mydramalist.com/WonJO_5c.jpg,very popular
Lee Joon Gi,12727,https://i.mydramalist.com/67r8d_5c.jpg,very popular
Kim Woo Bin,9482,https://i.mydramalist.com/RbYgo_5c.jpg,very popular
Kim Myung Soo,5966,https://i.mydramalist.com/w1l7J_5c.jpg,very popular
Kim Hyun Joong,3273,https://i.mydramalist.com/XKplxc.jpg,very popular
Jang Geun Suk,3978,https://i.mydramalist.com/rbpd2c.jpg,very popular
So Ji Sub,6763,https://i.mydramalist.com/p0pErc.jpg,very popular
Park Bo Gum,10962,https://i.mydramalist.com/p3Qx8_5c.jpg,very popular
Nam Joo Hyuk,12772,https://i.mydramalist.com/250rk_5c.jpg,very popular
Park Hae Jin,6032,https://i.mydramalist.com/kBpEr_5c.jpg,very popular
Jung Il Woo,4066,https://i.mydramalist.com/qd202_5c.jpg,very popular
Seo In Guk,10158,https://i.mydramalist.com/j64Ry_5c.jpg,very popular
Park Seo Joon,14887,https://i.mydramalist.com/j8meyc.jpg,very popular
Gong Yoo,11591,https://i.mydramalist.com/kwW2w_5c.jpg,very popular
Kim Bum,5136,https://i.mydramalist.com/vZxrW_5c.jpg,very popular
Yoo Seung Ho,7581,https://i.mydramalist.com/BDveR_5c.jpg,very popular
Rain,3270,https://i.mydramalist.com/Rm65g_5c.jpg,very popular
Ji Sung,7217,https://i.mydramalist.com/E55lEp_5c.jpg,very popular
Lee Dong Wook,12598,https://i.mydramalist.com/jQQJvv_5c.jpg,very popular
Park Hyung Sik,11705,https://i.mydramalist.com/EwXEO_5c.jpg,very popular
Sung Hoon,4223,https://i.mydramalist.com/xYb03c.jpg,very popular
Lee Seung Gi,7924,https://i.mydramalist.com/B3RRqc.jpg,very popular
Choi Min Ho,5083,https://i.mydramalist.com/2KqNd_5c.jpg,very popular
Lee Hyun Woo,4341,https://i.mydramalist.com/qbrYdc.jpg,very popular
Doh Kyung Soo,6512,https://i.mydramalist.com/43e46c.jpg,very popular
Jung Yong Hwa,3042,https://i.mydramalist.com/xRb6z_5c.jpg,very popular
Hyun Bin,7723,https://i.mydramalist.com/qAkLdc.jpg,very popular
Zo In Sung,3378,https://i.mydramalist.com/w8eqAc.jpg,very popular
Kim Ji Soo,6518,https://i.mydramalist.com/WzwB5_5c.jpg,very popular
Joo Won,2787,https://i.mydramalist.com/wrJg1_5c.jpg,very popular
Jo Jung Suk,4363,https://i.mydramalist.com/j8VlOc.jpg,very popular
Yook Sung Jae,5273,https://i.mydramalist.com/vpOAq_5c.jpg,very popular
Jang Hyuk,4273,https://i.mydramalist.com/01XN7c.jpg,very popular
Lee Kwang Soo,2816,https://i.mydramalist.com/w6PLY_5c.jpg,very popular
Seo Kang Joon,7169,https://i.mydramalist.com/rbPe2c.jpg,very popular
Namkoong Min,4619,https://i.mydramalist.com/kEQyOc.jpg,very popular
Ahn Jae Hyun,4521,https://i.mydramalist.com/dJjDW_5c.jpg,very popular
Choi Si Won,3428,https://i.mydramalist.com/pjkLDc.jpg,very popular
Lee Won Keun,2310,https://i.mydramalist.com/WoXxW_5c.jpg,very popular
Park Yoo Chun,1546,https://i.mydramalist.com/QXb5vc.jpg,very popular
Ok Taec Yeon,5189,https://i.mydramalist.com/eQwkY_5c.jpg,very popular
Park Chan Yeol,3588,https://i.mydramalist.com/EoQrl_5c.jpg,very popular
Noh Min Woo,1576,https://i.mydramalist.com/jo3KO_5c.jpg,very popular
Jung Kyung Ho,4006,https://i.mydramalist.com/EyqBz_5c.jpg,very popular
Kang Ha Neul,5097,https://i.mydramalist.com/0Kxmr_5c.jpg,very popular
Song Seung Heon,2699,https://i.mydramalist.com/02qdN_5c.jpg,very popular
Yoon Shi Yoon,4095,https://i.mydramalist.com/43zLwc.jpg,very popular
